entityType,nationality,dataSource,listType,firstName,lastName,party,constituency,URI
Individual,UK,http://www.theyworkforyou.com,PEP,Russell,Brown,Labour,Dumfries and Galloway,http://www.theyworkforyou.com/mp/10070/russell_brown/dumfries_and_galloway
Individual,UK,http://www.theyworkforyou.com,PEP,Jeremy,Browne,Liberal Democrat,Taunton Deane,http://www.theyworkforyou.com/mp/11869/jeremy_browne/taunton_deane
Individual,UK,http://www.theyworkforyou.com,PEP,Fiona,Bruce,Conservative,Congleton,http://www.theyworkforyou.com/mp/24857/fiona_bruce/congleton
Individual,UK,http://www.theyworkforyou.com,PEP,Malcolm,Bruce,Liberal Democrat,Gordon,http://www.theyworkforyou.com/mp/10074/malcolm_bruce/gordon
Individual,UK,http://www.theyworkforyou.com,PEP,Chris,Bryant,Labour,Rhondda,http://www.theyworkforyou.com/mp/10761/chris_bryant/rhondda
Individual,UK,http://www.theyworkforyou.com,PEP,Karen,Buck,Labour,Westminster North,http://www.theyworkforyou.com/mp/10075/karen_buck/westminster_north
Individual,UK,http://www.theyworkforyou.com,PEP,Robert,Buckland,Conservative,South Swindon,http://www.theyworkforyou.com/mp/24843/robert_buckland/south_swindon
Individual,UK,http://www.theyworkforyou.com,PEP,Richard,Burden,Labour,"Birmingham, Northfield",http://www.theyworkforyou.com/mp/10076/richard_burden/birmingham%2C_northfield
Individual,UK,http://www.theyworkforyou.com,PEP,Aidan,Burley,Conservative,Cannock Chase,http://www.theyworkforyou.com/mp/24844/aidan_burley/cannock_chase
Individual,UK,http://www.theyworkforyou.com,PEP,Andy,Burnham,Labour,Leigh,http://www.theyworkforyou.com/mp/10766/andy_burnham/leigh
Individual,UK,http://www.theyworkforyou.com,PEP,Conor,Burns,Conservative,Bournemouth West,http://www.theyworkforyou.com/mp/24780/conor_burns/bournemouth_west
Individual,UK,http://www.theyworkforyou.com,PEP,Simon,Burns,Conservative,Chelmsford,http://www.theyworkforyou.com/mp/10079/simon_burns/chelmsford
Individual,UK,http://www.theyworkforyou.com,PEP,David,Burrowes,Conservative,"Enfield, Southgate",http://www.theyworkforyou.com/mp/11573/david_burrowes/enfield%2C_southgate
Individual,UK,http://www.theyworkforyou.com,PEP,Paul,Burstow,Liberal Democrat,Sutton and Cheam,http://www.theyworkforyou.com/mp/10080/paul_burstow/sutton_and_cheam
Individual,UK,http://www.theyworkforyou.com,PEP,Alistair,Burt,Conservative,North East Bedfordshire,http://www.theyworkforyou.com/mp/10770/alistair_burt/north_east_bedfordshire
Individual,UK,http://www.theyworkforyou.com,PEP,Lorely,Burt,Liberal Democrat,Solihull,http://www.theyworkforyou.com/mp/11823/lorely_burt/solihull
Individual,UK,http://www.theyworkforyou.com,PEP,Dan,Byles,Conservative,North Warwickshire,http://www.theyworkforyou.com/mp/24849/dan_byles/north_warwickshire
Individual,UK,http://www.theyworkforyou.com,PEP,Liam,Byrne,Labour,"Birmingham, Hodge Hill",http://www.theyworkforyou.com/mp/11360/liam_byrne/birmingham%2C_hodge_hill
Individual,UK,http://www.theyworkforyou.com,PEP,Vincent,Cable,Liberal Democrat,Twickenham,http://www.theyworkforyou.com/mp/10084/vincent_cable/twickenham
Individual,UK,http://www.theyworkforyou.com,PEP,Alun,Cairns,Conservative,Vale of Glamorgan,http://www.theyworkforyou.com/mp/24740/alun_cairns/vale_of_glamorgan
Individual,UK,http://www.theyworkforyou.com,PEP,David,Cameron,Conservative,Witney,http://www.theyworkforyou.com/mp/10777/david_cameron/witney
Individual,UK,http://www.theyworkforyou.com,PEP,Alan,Campbell,Labour,Tynemouth,http://www.theyworkforyou.com/mp/10086/alan_campbell/tynemouth
Individual,UK,http://www.theyworkforyou.com,PEP,Gregory,Campbell,DUP,East Londonderry,http://www.theyworkforyou.com/mp/10780/gregory_campbell/east_londonderry
Individual,UK,http://www.theyworkforyou.com,PEP,Menzies,Campbell,Liberal Democrat,North East Fife,http://www.theyworkforyou.com/mp/10088/menzies_campbell/north_east_fife
Individual,UK,http://www.theyworkforyou.com,PEP,Ronnie,Campbell,Labour,Blyth Valley,http://www.theyworkforyou.com/mp/10089/ronnie_campbell/blyth_valley
Individual,UK,http://www.theyworkforyou.com,PEP,Alistair,Carmichael,Liberal Democrat,Orkney and Shetland,http://www.theyworkforyou.com/mp/10785/alistair_carmichael/orkney_and_shetland
Individual,UK,http://www.theyworkforyou.com,PEP,Neil,Carmichael,Conservative,Stroud,http://www.theyworkforyou.com/mp/24840/neil_carmichael/stroud
Individual,UK,http://www.theyworkforyou.com,PEP,Douglas,Carswell,UKIP,Clacton,http://www.theyworkforyou.com/mp/11621/douglas_carswell/clacton
Individual,UK,http://www.theyworkforyou.com,PEP,William,Cash,Conservative,Stone,http://www.theyworkforyou.com/mp/10095/william_cash/stone
Individual,UK,http://www.theyworkforyou.com,PEP,Martin,Caton,Labour,Gower,http://www.theyworkforyou.com/mp/10096/martin_caton/gower
